ORIG_FID,D_Angle,POINT_X,POINT_Y,SVI_ID,building,sky,tree,road,sidewalk,person,car,skyscraper,streetlight,wall,fence,railing,awning,signboard,ashcan,earth,van,plant,chair,bulletin board,grass,bicycle,ceiling,minibike,windowpane,mountain,column,bridge,water,sculpture,fountain,booth,lamp,pier,glass,sofa
119,38.39639929,-74.00400331,40.71993214,80,0.319844,0.202863,0.037883,0.386578,0.017262,0.002156,0.017691,0.0,0.0,0.000605,0.0015,0.0,0.0,0.0,0.0,0.0,0.004754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,38.1753421,-74.00355055,40.72050715,81,0.560117,0.015773,0.007117,0.367102,0.037184,0.0,0.008957,0.0,0.000105,0.0,0.0,0.0,0.0,0.000684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4e-06,0.0,0.0,0.0,0.0,0.0,0.0
121,33.98583999,-74.01135351,40.71018515,82,0.498762,0.037371,0.002148,0.32577,0.104719,0.01684,0.003945,0.0,0.000293,0.0,0.002656,0.0,0.0,0.002277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,124.0776663,-74.01076281,40.7071749,83,0.554707,0.016418,0.0,0.180008,0.166797,0.055824,0.00059,0.0,0.0,0.000473,0.001145,0.0,0.0,0.003133,0.0,0.0,0.0,0.003195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,117.9788156,-74.00897835,40.70610031,84,0.546656,0.018738,0.0,0.202387,0.070223,0.027191,0.059098,0.0,0.0,0.0,0.001152,0.0,0.0,0.016223,0.006523,0.0,0.0,0.0,0.0,0.0,0.0,0.004398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,123.1557085,-74.00745145,40.7052214,86,0.455477,0.073316,0.035062,0.353172,0.051762,0.008977,0.006566,0.0,0.000207,0.0,0.0,0.0,0.0,0.0,0.000488,0.0,0.0,0.000363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,126.0601468,-74.00691212,40.70483313,87,0.447234,0.109453,0.0,0.415445,0.01307,0.006031,0.004199,0.0,0.001465,0.0,0.000207,0.0,0.0,0.001109,4.7e-05,0.000941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,134.2012301,-74.00647419,40.70441023,88,0.082309,0.311668,0.041496,0.293578,0.0,0.000238,0.00973,0.0,0.000449,0.008359,0.062078,0.0,0.0,0.002176,0.0,0.0,0.05075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000855,0.0,0.054645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,33.42670433,-73.9756746,40.79704305,91,0.0,0.249875,0.299082,0.372328,7e-05,0.0,0.021613,0.0,0.0,0.046094,3.5e-05,0.0,0.0,0.000797,0.0,0.001289,0.0,0.0,0.0,0.0,0.008816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,34.67930561,-73.97840837,40.79430769,104,0.0,0.171492,0.419551,0.301871,0.0,0.0,0.004059,0.0,0.0,0.0,0.054984,0.00291,0.0,0.0,0.0,0.039684,0.0,0.0,0.0,0.0,0.005445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
