ORIG_FID,bike_lane,bike_trafd,frm_lvl_co,full_stree,l_blkfc_id,l_high_hn,l_low_hn,l_zip,date_modif,time_modif,physicalid,post_direc,post_modif,post_type,pre_direct,pre_modifi,pre_type,r_blkfc_id,r_high_hn,r_low_hn,r_zip,rw_type,shape_leng,snow_pri,st_label,st_name,st_width,status,to_lvl_co,trafdir,D_Angle,POINT_X,POINT_Y,SVI_ID
765,,,13,FRANKLIN ST,1222606574,97,71,10013.0,1/8/2020,00:00:00,945,,,ST,,,,1222602531,94,70,10013.0,1,378.2502372,H,FRANKLIN ST,FRANKLIN,26,2,13,TF,294.5201523,-74.00523397,40.71823242,936
117,,,13,CHURCH ST,1222607281,282,266,10013.0,3/17/2017,00:00:00,156,,,ST,,,,1222602530,283,265,10013.0,1,249.4395905,C,CHURCH ST,CHURCH,44,2,13,FT,39.55803464,-74.0049455,40.71873119,78
118,,,13,CHURCH ST,1222606629,300,284,10013.0,3/17/2017,00:00:00,157,,,ST,,,,1222604417,303,285,10013.0,1,259.1611898,C,CHURCH ST,CHURCH,60,2,13,FT,37.60579766,-74.00448249,40.71932348,79
119,,,13,CHURCH ST,1222605942,320,302,10013.0,3/17/2017,00:00:00,158,,,ST,,,,1222604070,319,305,10013.0,1,244.0237756,C,CHURCH ST,CHURCH,60,2,13,FT,38.39639929,-74.00400331,40.71993214,80
7961,,,13,LISPENARD ST,1222605596,29,1,10013.0,3/17/2017,00:00:00,96899,,,ST,,,,1222602216,32,2,10013.0,1,417.1194989,S,LISPENARD ST,LISPENARD,30,2,13,FT,114.5013572,-74.00412775,40.72013609,9805
120,,,13,CHURCH ST,1222600852,330,322,10013.0,3/17/2017,00:00:00,159,,,ST,,,,1222602060,337,321,10013.0,1,219.0801096,C,CHURCH ST,CHURCH,60,2,13,FT,38.1753421,-74.00355055,40.72050715,81
12746,,,13,LIBERTY ST,212261888,98,82,10006.0,4/15/2021,00:00:00,191620,,,ST,,,,212260676,99,77,10006.0,1,373.6199257,H,LIBERTY ST,LIBERTY,44,2,13,TW,295.2303865,-74.01162366,40.70964479,14909
122,,,13,WALL ST,212261291,20,10,10005.0,11/12/2019,00:00:00,162,,,ST,,,,212261582,21,9,10005.0,1,214.5599368,V,WALL ST,WALL,18,2,13,TW,124.0776663,-74.01076281,40.7071749,83
123,,,13,WALL ST,212261777,56,48,10005.0,8/24/2017,00:00:00,163,,,ST,,,,212261312,57,53,10005.0,1,233.3361462,H,WALL ST,WALL,24,2,13,FT,117.9788156,-74.00897835,40.70610031,84
668,3.0,FT,13,WILLIAM ST,212260741,41,33,10004.0,1/3/2019,00:00:00,823,,,ST,,,,212261309,42,34,10004.0,1,234.8736836,C,WILLIAM ST,WILLIAM,18,2,13,FT,31.93232116,-74.00955171,40.70630041,817
12512,,,13,WALL ST,212261419,46,22,10005.0,2/25/2022,00:00:00,189758,,,ST,,,,212260742,51,23,10005.0,1,421.953156,H,WALL ST,WALL,26,2,13,FT,122.1465117,-74.00967068,40.70648442,14510
126,,,13,WALL ST,212261038,104,92,10005.0,6/21/2017,00:00:00,166,,,ST,,,,212261819,103,95,10005.0,1,188.8993081,C,WALL ST,WALL,30,2,13,FT,126.0601468,-74.00691212,40.70483313,87
127,,,13,WALL ST,212261497,122,106,10005.0,8/24/2017,00:00:00,167,,,ST,,,,212262585,119,105,10005.0,1,273.1673498,C,WALL ST,WALL,30,2,13,FT,134.2012301,-74.00647419,40.70441023,88
263,,,17,HENRY HUDSON PKWY,1322601047,,,10024.0,3/17/2017,00:00:00,352,,,PKWY,,,,1322601371,,,10024.0,2,633.2172127,C,HENRY HUDSON PKWY,HENRY HUDSON,32,2,13,TF,26.63567788,-73.98373557,40.78605703,282
137,,,17,HENRY HUDSON PKWY,1322601370,,,10024.0,3/17/2017,00:00:00,179,,,PKWY,,,,1322604574,,,10024.0,2,192.5560331,C,HENRY HUDSON PKWY,HENRY HUDSON,32,2,17,FT,46.69890306,-73.98687555,40.78144858,111
8980,,,13,HUDSON RIVER GREENWAY,0,,,10023.0,12/22/2015,00:00:00,130890,,,,,,,0,,,10023.0,6,269.511469,,HUDSON RIVER GREENWAY,HUDSON RIVER GREENWAY,0,2,13,NV,47.15433072,-73.98711758,40.78145181,11096
10734,,,17,HENRY HUDSON PKWY,1322608521,,,10023.0,3/17/2017,00:00:00,165724,,,PKWY,,,,1322601371,,,10023.0,2,230.5708199,C,HENRY HUDSON PKWY,HENRY HUDSON,32,2,17,TF,44.04226305,-73.98700149,40.78151438,12279
9291,,,17,12 AVE,1322601370,,,10023.0,12/7/2021,00:00:00,132104,,,AVE,,,,1322604574,,,10023.0,2,623.7446663,C,12 AVE,12,32,2,17,FT,39.81327148,-73.9873757,40.78096589,11423
11024,,,13,12 AVE,1222603698,,,10019.0,1/9/2020,00:00:00,173030,,,AVE,,,,1222602949,,,10019.0,2,276.145006,C,12 AVE,12,54,2,13,FT,9.249798572,-73.99443681,40.77051899,12684
3787,,,13,W  58 ST,1322603937,698,600,10019.0,12/24/2019,00:00:00,16757,,,ST,W,,,1322603270,699,601,10019.0,1,869.0784429,C,W 58 ST,58,32,2,13,TW,292.8915065,-73.99364846,40.77214275,4494
140,,,13,12 AVE,1322604575,0,0,10019.0,1/9/2020,00:00:00,184,,,AVE,,,,1322606632,858,840,10019.0,1,262.762573,C,12 AVE,12,20,2,13,FT,35.52821044,-73.99331098,40.77262925,126
145,,,13,12 AVE,1222605209,0,0,10019.0,1/9/2020,00:00:00,191,,,AVE,,,,1222606609,716,692,10019.0,2,267.3591409,C,12 AVE,12,54,2,13,FT,36.81743055,-73.9958665,40.76782762,132
146,,,13,12 AVE,1222600409,0,0,10019.0,1/9/2020,00:00:00,192,,,AVE,,,,1222601037,690,678,10019.0,2,254.9473837,C,12 AVE,12,54,2,13,FT,35.99813193,-73.99631834,40.76722013,133
149,,,13,12 AVE,1222607503,0,0,10036.0,10/13/2020,00:00:00,195,,,AVE,,,,1222604276,638,618,10036.0,2,262.2422937,H,12 AVE,12,52,2,13,FT,36.69115644,-73.99768659,40.76533932,136
148,,,13,12 AVE,1222606654,0,0,10019.0,1/9/2020,00:00:00,194,,,AVE,,,,1222604084,660,640,10019.0,2,254.8276771,C,12 AVE,12,48,2,13,FT,36.05344394,-73.99722525,40.76596951,135
150,,,13,12 AVE,1222607503,0,0,10036.0,1/9/2020,00:00:00,196,,,AVE,,,,1222603875,616,600,10036.0,2,258.1880092,C,12 AVE,12,52,2,13,FT,36.39365656,-73.99814473,40.76472296,137
12824,,,13,12 AVE,1222600267,0,0,10036.0,6/15/2021,00:00:00,192512,,,AVE,,,,1222605161,516,500,10036.0,2,225.0838966,C,12 AVE,12,52,2,13,FT,46.13459229,-74.00112195,40.76190743,14977
1212,,,9,LINCOLN TUNL,1222607761,,,10018.0,10/5/2020,00:00:00,1458,,,TUNL,,,,1222602602,,,10018.0,4,898.3893934,V,LINCOLN TUNL,LINCOLN,26,2,9,FT,295.3529615,-74.00230421,40.76028973,1400
7413,,,9,LINCOLN TUNL,1222607778,,,10018.0,4/15/2021,00:00:00,88777,,,TUNL,,,,1222608042,,,10018.0,4,900.4384825,V,LINCOLN TUNL,LINCOLN,26,2,9,TW,292.6018151,-74.00248214,40.75998851,9114
156,,,13,12 AVE,1222607492,0,0,10018.0,1/9/2020,00:00:00,204,,,AVE,,,,1222600278,458,422,10018.0,2,361.8372998,C,12 AVE,12,55,2,13,FT,35.81188621,-74.00281653,40.75972281,143
244,,,13,12 AVE,1222601685,459,437,10018.0,1/9/2020,00:00:00,327,,,AVE,,,,1222600302,0,0,10018.0,2,368.1147316,C,12 AVE,12,30,2,13,TF,36.17250141,-74.00304177,40.75979583,242
1407,,,9,LINCOLN TUNL,1222606808,,,10018.0,10/5/2020,00:00:00,1704,,,TUNL,,,,1222607777,,,10018.0,4,899.6846516,V,LINCOLN TUNL,LINCOLN,26,2,9,TF,294.8074859,-74.00276309,40.75964933,1750
9275,1.0,TW,13,HUDSON RIVER GREENWAY,0,,,10018.0,4/19/2018,00:00:00,132064,,,,,,,0,,,10018.0,6,1348.084243,,HUDSON RIVER GREENWAY,HUDSON RIVER GREENWAY,0,2,13,NV,36.0086428,-74.00313057,40.75988601,11394
158,,,13,12 AVE,1222607490,0,0,10018.0,1/9/2020,00:00:00,206,,,AVE,,,,1222600278,418,402,10018.0,2,263.1916048,C,12 AVE,12,55,2,13,FT,35.91895276,-74.00349263,40.75877795,144
172,,,13,11 AVE,1222607462,0,0,10011.0,1/9/2020,00:00:00,223,,,AVE,,,,1222606890,62,46,10011.0,2,258.6997567,C,11 AVE,11,35,2,13,FT,9.09439675,-74.00827787,40.74455536,160
232,,,13,11 AVE,1222600297,61,45,10011.0,1/9/2020,00:00:00,314,,,AVE,,,,1222600295,0,0,10011.0,2,254.1339467,C,11 AVE,11,35,2,13,TF,9.433824471,-74.00846068,40.74462276,227
8791,,,13,W  17 ST,1222606680,598,500,10011.0,3/28/2022,00:00:00,129051,,,ST,W,,,1222601382,599,501,10011.0,1,406.8483837,C,W 17 ST,17,30,2,13,FT,292.9372164,-74.00806967,40.74459376,10774
171,,,13,11 AVE,1222607463,0,0,10011.0,1/9/2020,00:00:00,222,,,AVE,,,,1222601381,80,64,10011.0,2,258.371229,C,11 AVE,11,35,2,13,FT,11.23477569,-74.00814321,40.74525631,159
233,,,13,11 AVE,1222601225,79,63,10011.0,1/9/2020,00:00:00,315,,,AVE,,,,1222600293,0,0,10011.0,2,266.6916305,C,11 AVE,11,35,2,13,TF,10.45396885,-74.00833528,40.74531297,228
8794,2.0,TF,13,W  18 ST,1222601380,598,500,10011.0,6/27/2022,00:00:00,129054,,,ST,W,,,1222606251,599,515,10011.0,1,403.2828139,C,W 18 ST,18,32,2,13,TF,292.7965743,-74.0079407,40.74529985,10776
173,,,13,11 AVE,1222600273,0,0,10011.0,1/9/2020,00:00:00,224,,,AVE,,,,1222604635,44,28,10011.0,2,292.2535692,C,11 AVE,11,35,2,13,FT,10.36660882,-74.00841022,40.74375862,161
231,,,13,11 AVE,1222600297,43,27,10011.0,1/9/2020,00:00:00,313,,,AVE,,,,1222607461,0,0,10011.0,2,299.1890803,C,11 AVE,11,35,2,13,TF,12.23159054,-74.00860785,40.74380705,226
1147,3.0,TF,13,W  16 ST,1222604634,598,500,10011.0,4/19/2018,00:00:00,1380,,,ST,W,,,1222604904,599,501,10011.0,1,364.2245959,C,W 16 ST,16,30,2,13,TF,293.6901252,-74.0083208,40.74394663,1307
230,,,13,11 AVE,1222600297,25,7,10011.0,1/9/2020,00:00:00,312,,,AVE,,,,1222600276,0,0,10011.0,2,310.1317079,C,11 AVE,11,35,2,13,TF,10.73527454,-74.00878278,40.74296762,225
229,,,13,WEST ST,1222600297,,,10014.0,1/9/2020,00:00:00,311,,,ST,,,,1222600300,,,10014.0,2,715.0658491,C,WEST ST,WEST,32,2,13,TF,15.27081248,-74.00894105,40.74217606,224
176,,,13,WEST ST,1222607456,,,10014.0,1/9/2020,00:00:00,227,,,ST,,,,1222600373,,,10014.0,2,231.6719654,C,WEST ST,WEST,42,2,13,FT,8.334575328,-74.00985738,40.73933541,168
227,,,13,WEST ST,1222600265,,,10014.0,1/9/2020,00:00:00,309,,,ST,,,,1222600118,,,10014.0,2,275.8608607,C,WEST ST,WEST,32,2,13,TF,7.792618233,-74.01006402,40.73921352,219
1089,,,13,10 AVE,1222605376,0,0,10014.0,8/28/2020,00:00:00,1318,,,AVE,,,,1222602851,525,525,10014.0,1,255.7627478,C,10 AVE,10,30,2,13,TF,22.13537037,-74.00970885,40.73923397,1241
178,,,13,WEST ST,1222600243,487,467,10014.0,1/9/2020,00:00:00,229,,,ST,,,,1222602260,486,468,10014.0,2,218.3304953,C,WEST ST,WEST,52,2,13,FT,2.800651911,-74.0098147,40.73756067,170
9240,,,13,WEST ST,1222600265,,,10014.0,1/9/2020,00:00:00,131998,,,ST,,,,1222607328,,,10014.0,2,824.0695023,C,WEST ST,WEST,32,2,13,TF,4.65083894,-74.01005033,40.73708599,11356
180,,,13,WEST ST,1222600243,425,417,10014.0,1/9/2020,00:00:00,232,,,ST,,,,1222605006,426,418,10014.0,2,258.2436178,C,WEST ST,WEST,50,2,13,FT,4.366624412,-74.0099977,40.73518149,172
184,,,13,WEST ST,1222600243,395,391,10014.0,1/9/2020,00:00:00,236,,,ST,,,,1222603306,394,390,10014.0,2,279.0630052,C,WEST ST,WEST,50,2,13,FT,5.57034312,-74.01017944,40.7329919,174
183,,,13,WEST ST,1222600243,405,397,10014.0,1/9/2020,00:00:00,235,,,ST,,,,1222606041,404,396,10014.0,2,246.2445713,C,WEST ST,WEST,50,2,13,FT,4.89600026,-74.0101119,40.7337564,173
10241,,,13,VESEY ST,0,113,87,10007.0,3/17/2017,00:00:00,146687,,,ST,,,,0,114,88,10007.0,1,375.830572,V,VESEY ST,VESEY,0,2,13,NV,293.4827941,-74.01363586,40.71364088,11845
200,,,13,WEST ST,212260499,147,139,10007.0,1/9/2020,00:00:00,259,,,ST,,,,212260912,146,140,10007.0,2,285.1928396,C,WEST ST,WEST,55,2,13,FT,20.76513325,-74.01351361,40.71423358,185
